age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,days_since_last_contact
0.5974025974025974,2.0,0.0,3.0,1.0,0.47705869057485123,3.0,3.0,0.0,0.848718991459943,0.8064516129032258,0.1456422018348624,0.02181818181818182,0.0,0.772394881170019
0.3506493506493507,4.0,1.0,4.0,1.0,0.044074436826640556,1.0,1.0,0.0,0.08235054900366003,0.03225806451612903,0.0,0.0,1.0,0.7696526508226693
0.5324675324675325,7.0,1.0,3.0,1.0,0.046080388759135095,3.0,1.0,1.0,0.021553477023180154,0.0,0.0,0.0,1.0,0.5502742230347355
0.29870129870129875,1.0,1.0,3.0,1.0,0.03927145332630152,1.0,1.0,0.0,0.01870679137860919,0.22580645161290325,0.0,0.0,1.0,0.8117001828153567
0.2077922077922078,9.0,1.0,3.0,1.0,0.03957281699691103,1.0,3.0,0.0,0.03090687271248475,0.016129032258064516,0.0,0.0,1.0,0.4808043875685559
0.3766233766233767,10.0,1.0,2.0,3.0,0.5685037293754239,3.0,1.0,3.0,0.8200488003253354,0.8064516129032258,0.1559633027522936,0.5127272727272727,2.0,0.0009140767824504792
0.28571428571428575,1.0,1.0,3.0,1.0,0.032509605967000685,3.0,3.0,0.0,0.016063440422936153,0.0,0.19724770642201836,0.0036363636363636364,0.0,0.7029250457038394
0.29870129870129875,4.0,1.0,4.0,1.0,0.0386875612144956,1.0,1.0,0.0,0.028466856445709638,0.11290322580645161,0.0,0.0,1.0,0.4497257769652654
0.3766233766233767,8.0,1.0,0.0,1.0,0.03833910947035336,3.0,1.0,0.0,0.02887352582350549,0.0,0.0,0.0,1.0,0.20932358318098743
0.18181818181818182,1.0,1.0,3.0,1.0,0.0562137421833798,3.0,1.0,3.0,0.00854005693371289,0.0,0.0,0.0,1.0,0.56855575868373
0.4675324675324675,1.0,1.0,2.0,1.0,0.03973291644692233,3.0,1.0,0.0,0.03741358275721838,0.0,0.0,0.0,1.0,0.5511882998171851
0.2337662337662338,0.0,1.0,3.0,1.0,0.050403073909440224,1.0,1.0,1.0,0.04717364782431883,0.03225806451612903,0.0,0.0,1.0,0.8473491773308961
0.19480519480519481,0.0,0.0,4.0,1.0,0.05314359978904544,1.0,1.0,0.0,0.007930052867019113,0.04838709677419355,0.0,0.0,1.0,0.23217550274223075
0.4805194805194805,11.0,1.0,4.0,1.0,0.038207262864461695,1.0,1.0,0.0,0.10187067913786092,0.0,0.0,0.0,1.0,0.7065813528336387
0.16883116883116883,11.0,1.0,4.0,1.0,0.03579635349958563,3.0,1.0,0.0,0.05530703538023587,0.0,0.41972477064220187,0.01818181818181818,0.0,0.20932358318098743
0.40259740259740256,1.0,1.0,2.0,1.0,0.06039516311308672,1.0,3.0,3.0,0.04798698657991053,0.016129032258064516,0.0,0.0,1.0,0.15447897623400397
0.7662337662337662,7.0,1.0,0.0,1.0,0.03856513222331048,1.0,1.0,3.0,0.05307035380235868,0.0,0.0,0.0,1.0,0.6352833638025599
0.15584415584415584,4.0,4.0,4.0,1.0,0.043528215173660824,3.0,1.0,0.0,0.0211468076453843,0.0,0.0,0.0,1.0,0.39305301645338275
0.5194805194805194,1.0,1.0,2.0,1.0,0.04624048820914639,1.0,1.0,0.0,0.06445709638064254,0.03225806451612903,0.0,0.0,1.0,0.160877513711152
0.2207792207792208,12.0,0.0,4.0,1.0,0.9381262713779855,3.0,3.0,0.0,0.9267995119967466,0.41935483870967744,0.8990825688073395,0.5709090909090909,0.0,0.6709323583180993
0.44155844155844154,9.0,1.0,3.0,1.0,0.04329277480599714,3.0,1.0,0.0,0.0313135420902806,0.016129032258064516,0.39105504587155965,0.007272727272727273,0.0,0.8802559414990867
0.5454545454545454,7.0,1.0,3.0,1.0,0.11910457319370152,1.0,1.0,1.0,0.01728344855632371,0.0,0.0,0.0,1.0,0.5237659963436929
0.2077922077922078,11.0,4.0,4.0,1.0,0.0455812551796881,1.0,1.0,0.0,0.0571370475803172,0.0,0.0,0.0,1.0,0.1599634369287024
0.28571428571428575,4.0,0.0,4.0,1.0,0.038555714608603936,3.0,1.0,1.0,0.08377389182594551,0.0,0.0,0.0,1.0,0.20840950639853784
0.16883116883116883,1.0,4.0,3.0,3.0,0.03812250433210277,3.0,3.0,1.0,0.02338348922326149,0.24193548387096775,0.0,0.0,1.0,0.8519195612431449
0.42857142857142855,7.0,1.0,3.0,1.0,0.05172153996835682,1.0,1.0,1.0,0.11935746238308255,0.0,0.0,0.0,1.0,0.8519195612431449
0.32467532467532473,9.0,1.0,3.0,1.0,0.03909251864687713,3.0,3.0,3.0,0.013826758845058967,0.0,0.0,0.0,1.0,0.7175502742230355
